stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100060700100,須磨東高校前,34.6817298456569,135.10382156016,Z006360,0,,,,,,,１,須磨区
S280100060700200,須磨東高校前,34.6809226473503,135.103891010185,Z006360,0,,,,,,,２,須磨区
S280100060800100,東落合小学校前,34.6840038585797,135.102189726044,Z006370,0,,,,,,,１,須磨区
S280100060900100,白川台４丁目,34.6879270074131,135.101634166569,Z006380,0,,,,,,,１,須磨区
S280100061000100,白川台１丁目,34.689714887158,135.095905479633,Z006390,0,,,,,,,１,須磨区
S280100061100100,北落合２丁目,34.6875883753192,135.094065378994,Z006400,0,,,,,,,１,須磨区
S280100061100200,北落合２丁目,34.687631775279,135.094238975175,Z006400,0,,,,,,,２,須磨区
S280100061200100,北須磨文化センター前,34.6850626330883,135.09496811355,Z006410,0,,,,,,,１,須磨区
S280100061200200,北須磨文化センター前,34.6851667894381,135.095072270174,Z006410,0,,,,,,,２,須磨区
S280100061300100,竜が台７丁目,34.6732323592241,135.0955585186,Z006420,0,,,,,,,１,須磨区
S280100061400100,友が丘中学校前,34.6742045513501,135.099447060811,Z006430,0,,,,,,,１,須磨区
S280100061500100,南落合３丁目,34.6761141409943,135.103092545672,Z006440,0,,,,,,,１,須磨区
S280100061600100,南落合４丁目,34.6779542406638,135.104203527138,Z006450,0,,,,,,,１,須磨区
S280100061700100,東白川台,34.6923189060263,135.104238044123,Z006460,0,,,,,,,１,須磨区
S280100061700200,東白川台,34.6925879779487,135.104550512388,Z006460,0,,,,,,,２,須磨区
S280100061800100,東白川台南通り,34.6928310803509,135.108300170845,Z006470,0,,,,,,,１,須磨区
S280100061900100,東白川台東通り,34.6949662434409,135.108161263093,Z006480,0,,,,,,,１,須磨区
S280100062000100,東白川台北通り,34.695938312345,135.105869782271,Z006490,0,,,,,,,１,須磨区
S280100062100100,東白川台西通り,34.6951658034677,135.104619913563,Z006500,0,,,,,,,１,須磨区
S280100062200100,本庄町,34.6500759539068,135.13850668345,Z006790,0,,,,,,,１,長田区
S280100062200200,本庄町,34.6498676473117,135.138784442611,Z006790,0,,,,,,,２,長田区
S280100062300100,白川台２丁目,34.6892288774756,135.098648305234,Z006830,0,,,,,,,１,須磨区
S280100062400100,城山橋,34.6909127439009,135.100418960558,Z006840,0,,,,,,,１,須磨区
S280100062500100,千原公園,34.6944974141505,135.101460489515,Z006850,0,,,,,,,１,須磨区
S280100062600100,城が丘中央公園,34.6918240772474,135.099516252954,Z006860,0,,,,,,,１,須磨区
S280100062700100,白川台中学校前,34.6926312241914,135.096842869969,Z006870,0,,,,,,,１,須磨区
S280100062800100,北落合６丁目,34.6942195543962,135.094273615114,Z006880,0,,,,,,,１,須磨区
S280100062900100,城が谷公園,34.6940546527933,135.095245760822,Z006890,0,,,,,,,１,須磨区
S280100063000100,北落合５丁目,34.6902269495155,135.093266801432,Z006900,0,,,,,,,１,須磨区
S280100063100100,落合団地北,34.6904959932144,135.091322513047,Z006910,0,,,,,,,１,須磨区
S280100063200100,北落合４丁目,34.6903831367743,135.089412948926,Z006920,0,,,,,,,１,須磨区
S280100063300100,北落合４丁目西,34.6900706556652,135.087989459018,Z006930,0,,,,,,,１,須磨区
S280100063400100,清水台,34.6828148845017,135.108300319677,Z001620,0,,,,,,,１,須磨区
S280100063400200,清水台,34.6822767529638,135.108369766328,Z001620,0,,,,,,,２,須磨区
S280100063500100,車大道北,34.6845508223946,135.109515464096,Z001610,0,,,,,,,１,須磨区
S280100063500200,車大道北,34.6845161055726,135.109584902987,Z001610,0,,,,,,,２,須磨区
S280100063700100,若草小学校前,34.6885695166742,135.113612276368,Z001580,0,,,,,,,１,須磨区
S280100063800100,南公園,34.6864343548836,135.113994224217,Z001590,0,,,須磨区,,,,１,須磨区
S280100063900100,若草町１丁目,34.6857139139042,135.111425006986,Z001600,0,,,,,,,１,須磨区
